empresa,market_cap,enterprise_value,price_to_book,price_to_sales,PEG,EV_revenue,EV_EBITDA,ROA,ROE,one_year_return,revenue_TTM,free_cash_flow_TTM,gross_margin,operating_margin,pretax_margin,net_margin,fcf_margin,P_CF,P_FCF,price_to_cash,ROIC
ALM.MC,2562692096.000000,2550752768.000000,1.724437,2.299344,,2.289000,12.553000,0.018980,0.031020,0.197774,1368328000.000000,6253000.000000,0.703608,0.071348,0.069736,0.042881,0.004570,14.689366,409.834015,7.587115,0.053348
A3M.MC,1123640320.000000,1048759936.000000,1.533026,1.257227,,1.173000,12.421000,0.030750,0.079390,-0.010071,,,,,,,,,,4.365042,
CAF.MC,2010497152.000000,2221067520.000000,2.050512,0.447424,,0.494000,6.355000,0.028090,0.160680,0.520000,2131124000.000000,,0.168327,0.053773,0.038197,0.023956,,,,3.360321,0.063750
CIE.MC,3412789760.000000,4752858112.000000,2.332051,0.862196,,1.201000,6.390000,0.061580,0.195950,0.249438,,,,,,,,,,4.051304,
DIA.MC,2351208192.000000,2897825792.000000,18.741323,0.410116,,0.505000,9.114000,0.052300,1.470360,1.154891,,,,,,,,,,6.593368,
EBRO.MC,2963447552.000000,3202116608.000000,1.285800,0.983211,,1.062000,8.172000,0.043750,0.097970,0.173219,,,,,,,,,,10.053662,
ENO.MC,2405355264.000000,2287352064.000000,2.673444,0.586520,,0.558000,223.943000,-0.008430,-0.067890,0.642599,,,,,,,,,,4.668526,
FAE.MC,1462927744.000000,1432582272.000000,2.005975,2.561489,,2.508000,12.122000,,,0.410526,681434000.000000,,0.649906,0.161367,0.139876,0.158770,,,,12.470402,0.096024
GEST.MC,1743432832.000000,4677085696.000000,0.788066,0.152325,,0.409000,4.133000,0.033170,0.080690,0.083032,17210061000.000000,638647000.000000,0.387363,0.048369,0.028483,0.013643,0.037109,1.090560,2.729885,1.575569,0.154853
GRE.MC,3083157760.000000,4019201024.000000,7.425442,2.919079,,3.805000,21.704000,0.048850,0.195850,1.841530,,,,,,,,,,8.243781,
LDA.MC,1279261952.000000,1188736512.000000,3.161290,1.129385,,1.049000,9.915000,0.054840,0.224730,0.008696,,,,,,,,,,75.303859,
MEL.MC,1762626176.000000,4262457088.000000,2.088988,0.848403,,2.052000,9.453000,0.040050,0.177970,0.165295,2096665000.000000,,0.619637,0.144838,0.126873,0.081080,,,,7.582101,0.163724
HOME.MC,1759901568.000000,2680920832.000000,1.517417,2.497614,,3.805000,34.998000,0.016120,0.108690,0.153646,,,,,,,,,,2.189003,
PHM.MC,1440430208.000000,1317413632.000000,7.330097,8.034707,,7.349000,48.884000,0.040750,0.179120,-0.075257,271942000.000000,28054000.000000,0.944933,0.238555,0.254451,0.344448,0.103162,37.768897,51.344914,80.845833,0.215347
TRE.MC,2452246528.000000,2154155008.000000,4.427524,0.379261,,0.333000,7.176000,0.034620,0.324770,1.077604,6465856000.000000,,0.228886,0.045014,0.036856,0.024241,,,,,0.199648
TUB.MC,383008544.000000,832037376.000000,1.081176,0.529733,,1.151000,11.086000,0.004390,-0.054100,-0.274605,719257000.000000,,0.582626,0.012436,-0.031919,-0.043485,,,,2.646457,0.011268
VID.MC,2604585984.000000,2771008512.000000,1.847701,1.722849,,1.833000,6.696000,0.078690,0.153770,-0.246201,760114000.000000,,0.590186,0.224922,0.204086,0.233557,,,,24.038190,0.111891
VIS.MC,2691735808.000000,2976343808.000000,2.920323,2.149978,,2.377000,10.514000,0.089240,0.169050,-0.039024,1239624000.000000,,0.683480,0.169935,0.160090,0.138555,,,,42.868861,0.174432
